model,task,window,auroc,auprc,brier
logistic_regression,readmit_30,1,0.6838839352189048,0.22508678867414472,0.09687087176822085
logistic_regression,readmit_30,2,0.6675942021485035,0.21648807364195038,0.09576485678289919
logistic_regression,readmit_30,3,0.6567062615101289,0.20221783389530124,0.09904975005650254
logistic_regression,readmit_30,4,0.6463808012912999,0.19298264566898515,0.09499899007855152
logistic_regression,readmit_30,5,0.649096631825412,0.19844360088594987,0.09298682140288657
xgboost,readmit_30,1,0.7424986429803909,0.3165041292279088,0.09200336784124374
xgboost,readmit_30,2,0.6805465163035064,0.22750227255275085,0.09497510641813278
xgboost,readmit_30,3,0.6617859234074703,0.20269881201825413,0.09925229847431183
xgboost,readmit_30,4,0.6520740582047648,0.1970686577580385,0.09535618126392365
xgboost,readmit_30,5,0.6550063308099323,0.20113407851848902,0.09297317266464233
mlp,readmit_30,1,0.644393475268942,0.19140581385375824,0.0985731861628379
mlp,readmit_30,2,0.584337263603611,0.15794492432781704,0.09949586399007851
mlp,readmit_30,3,0.5776943854181423,0.14610379602595702,0.10252475570364428
mlp,readmit_30,4,0.5731837042220889,0.13496236128058353,0.09787852005226992
mlp,readmit_30,5,0.5673133157050241,0.134782736741858,0.09636912695148403
logistic_regression,extended_stay,1,0.8423340041426179,0.7337340573661989,0.14528549068378369
logistic_regression,extended_stay,2,0.8281112141962296,0.683806263319619,0.14588128793276856
logistic_regression,extended_stay,3,0.7957340695654035,0.6384023759782118,0.15772140811156687
logistic_regression,extended_stay,4,0.8196601462390545,0.6581094695913771,0.1559615293341051
logistic_regression,extended_stay,5,0.8386217920914042,0.6550109724547745,0.14847776704251753
xgboost,extended_stay,1,0.9060636107209746,0.8430178294501335,0.11382101476192474
xgboost,extended_stay,2,0.838434721523015,0.6993285153243546,0.14198939502239227
xgboost,extended_stay,3,0.8056429863186643,0.6463194288091441,0.15506844222545624
xgboost,extended_stay,4,0.8284377704095356,0.6642946557763355,0.15285488963127136
xgboost,extended_stay,5,0.8434283449444471,0.6582138130722143,0.1446915715932846
mlp,extended_stay,1,0.8686348886807291,0.7755781857264101,0.1335368077017217
mlp,extended_stay,2,0.8173191973272823,0.6663180866045073,0.15024356386709997
mlp,extended_stay,3,0.7907056256058046,0.6303973104152673,0.15873563623479225
mlp,extended_stay,4,0.8051026723068295,0.6365578800698322,0.15709413305420689
mlp,extended_stay,5,0.8265833384593627,0.6324570945800994,0.14793476989505266
logistic_regression,med_change,1,0.9992837100415478,0.999256960795979,0.0019191571786755916
logistic_regression,med_change,2,0.9982616859310911,0.9984137351187297,0.0026228925050659144
logistic_regression,med_change,3,0.9977737706956464,0.9982419918208649,0.0036816217324399355
logistic_regression,med_change,4,0.9975654102422087,0.998429881223274,0.004862990298986382
logistic_regression,med_change,5,0.9981926699803562,0.9987410153270936,0.0029414302157404278
xgboost,med_change,1,0.9994368349688952,0.999375154737122,0.002067835768684745
xgboost,med_change,2,0.9982396090846786,0.9984277868710546,0.0030621481128036976
xgboost,med_change,3,0.9979305299212547,0.9983387381744873,0.0043910895474255085
xgboost,med_change,4,0.9974862022329216,0.9983907837185793,0.005207188427448273
xgboost,med_change,5,0.998245286700904,0.9987875784231421,0.0032277244608849287
mlp,med_change,1,0.9991171991012219,0.9976594452801384,0.0021567864155969288
mlp,med_change,2,0.9977897777901968,0.997417383406283,0.007168960304109545
mlp,med_change,3,0.9970278307275823,0.9976658616783769,0.006574694315786141
mlp,med_change,4,0.9968856669838031,0.9980157619428548,0.0076562499627698686
mlp,med_change,5,0.9977993605979415,0.9983703173121744,0.005956115385936618
